=== MATRIZ DE TRAZABILIDAD EXTREMO A EXTREMO (115 REQUISITOS / 12 MÓDULOS) ===
Proyecto: Plataforma Zinco (Ecosistema CTeI UNICOR)
Documento Fuente: reporte_requerimientos.pdf (Prototipo v1.0)
Fecha de corte: 2026-09-09

ID          | Descripción Funcional                              | CU     | Módulo Drupal    | Prueba         | Estado      
RF-06.3     | Gestión de Cursos, Talleres y Capacitación en Ha   | CU-06  | zinco_core       | CP-FUNC-06.3   | Implementado
RF-06.4     | Gestión de Convocatorias Departamentales y Nacio   | CU-06  | zinco_proyectos  | CP-FUNC-06.4   | Implementado
RF-07.1     | Caja de Herramientas CTI: Gestión y Carga de Met   | CU-07  | zinco_core       | CP-FUNC-07.1   | Implementado
RF-07.2.1   | Caja de Herramientas: Navegación por Categorías    | CU-07  | zinco_front      | CP-FUNC-07.2   | Implementado
RF-07.2.2   | Caja de Herramientas: Listado y Descarga de Recu   | CU-07  | zinco_front      | CP-FUNC-07.3   | Implementado
RF-07.2.3   | Caja de Herramientas: Vista Detallada de Recurso   | CU-07  | zinco_front      | CP-FUNC-07.4   | Implementado
RF-07.2.4   | Caja de Herramientas: Buscador Especializado de    | CU-07  | zinco_front      | CP-FUNC-07.5   | Implementado
RF-08.1     | Motor de Búsqueda Global y Avanzado con Autocomp   | CU-08  | zinco_front      | CP-FUNC-08.1   | Implementado
RF-08.2.1   | Búsqueda Especializada de Actores y Organizacion   | CU-08  | zinco_usuarios   | CP-FUNC-08.2   | Implementado
RF-08.2.2   | Búsqueda Especializada de Proyectos de Investiga   | CU-08  | zinco_proyectos  | CP-FUNC-08.3   | Implementado
RF-08.2.3   | Búsqueda Especializada de Retos de Innovación Ab   | CU-08  | zinco_retos      | CP-FUNC-08.4   | Implementado
RF-08.2.4   | Búsqueda Especializada de Noticias y Boletines C   | CU-08  | zinco_core       | CP-FUNC-08.5   | Implementado
RF-08.2.5   | Búsqueda Especializada de Convocatorias Abiertas   | CU-08  | zinco_proyectos  | CP-FUNC-08.6   | Implementado
RF-08.3     | Filtros Facetados por Atributos, Ordenamiento y    | CU-08  | zinco_front      | CP-FUNC-08.7   | Implementado
RF-09.1     | Interfaz Conversacional (Chat) para Consultas de   | CU-09  | zinco_front      | CP-FUNC-09.1   | Implementado
RF-09.2     | Comprensión de Lenguaje Natural (NLU) para Ident   | CU-09  | zinco_servicios  | CP-FUNC-09.2   | Implementado
RF-09.3.1   | Consultas Específicas de Entidades, Convocatoria   | CU-09  | zinco_servicios  | CP-FUNC-09.3   | Implementado
RF-09.3.2   | Búsquedas Dirigidas y Redirección a Recursos Esp   | CU-09  | zinco_servicios  | CP-FUNC-09.4   | Implementado
RF-10.1.1   | Captura y Registro Estructurado de Necesidades d   | CU-10  | zinco_proyectos  | CP-FUNC-10.1   | Implementado
RF-10.1.2   | Captura y Registro de Necesidades Puntuales de I   | CU-10  | zinco_proyectos  | CP-FUNC-10.2   | Implementado
RF-10.2.1   | Visualización y Directorio de Necesidades Identi   | CU-10  | zinco_proyectos  | CP-FUNC-10.3   | Implementado
RF-10.2.2   | Filtrado de Necesidades por Actor Proponente, Se   | CU-10  | zinco_proyectos  | CP-FUNC-10.4   | Implementado
RF-11.1     | Gestión Integral de Usuarios, Perfiles y Roles R   | CU-11  | zinco_usuarios   | CP-FUNC-11.1   | Implementado
RF-11.2     | Sistema de Mensajería Interna Directa entre Acto   | CU-11  | zinco_usuarios   | CP-FUNC-11.2   | Implementado
RF-11.3     | Sistema de Notificaciones y Alertas Automáticas    | CU-11  | zinco_core       | CP-FUNC-11.3   | Implementado
RF-12.1     | Gestión Centralizada de Taxonomías Institucional   | CU-12  | zinco_core       | CP-FUNC-12.1   | Implementado
RF-12.2     | Configuración de Parámetros Globales del Sistema   | CU-12  | zinco_core       | CP-FUNC-12.2   | Implementado
RF-12.3     | Gestión de APIs, Credenciales e Integración con    | CU-12  | zinco_servicios  | CP-FUNC-12.3   | Implementado
